xi,min_samples,metric,n_clusters,silhouette_score,dbi_score
0.05,50,manhattan,8,0.5246221380569773,0.7416148078783661
0.1,50,minkowski,8,0.5237183981141639,0.7472427597186938
0.1,50,euclidean,8,0.5237183981141639,0.7472427597186938
0.05,20,chebyshev,9,0.5233914058325977,1.7084245695174267
0.1,20,chebyshev,9,0.5231824789657984,1.607110651202667
0.1,10,manhattan,8,0.523137016542333,0.7368441483094199
0.1,5,manhattan,9,0.5228495768999392,1.4400966763079972
0.05,50,chebyshev,8,0.5223295971802688,0.7535558301682492
0.05,20,manhattan,9,0.5215856503046596,1.3357381461427298
0.05,100,euclidean,7,0.5194948882441311,1.2978224719894602
0.05,100,minkowski,7,0.5194948882441311,1.2978224719894602
0.05,100,manhattan,7,0.519046947527384,1.305995529715385
0.05,100,chebyshev,7,0.5186509614826713,1.3074102908633756
0.1,50,chebyshev,6,0.5095237292317284,1.0531466600509012
0.05,20,minkowski,9,0.5086633291428828,1.296408164345886
0.05,20,euclidean,9,0.5086633291428828,1.296408164345886
0.1,100,chebyshev,6,0.5085463145659384,1.0600321808225932
0.1,10,minkowski,9,0.48618163726826624,0.7110164607166395
0.1,20,euclidean,9,0.48618163726826624,0.7110164607166395
0.1,10,euclidean,9,0.48618163726826624,0.7110164607166395
0.1,20,minkowski,9,0.48618163726826624,0.7110164607166395
0.1,100,euclidean,6,0.4852891801036541,0.873321705264947
0.1,100,minkowski,6,0.4852891801036541,0.873321705264947
0.05,50,minkowski,9,0.47172589802840326,1.21658562545318
0.05,50,euclidean,9,0.47172589802840326,1.21658562545318
0.1,20,manhattan,6,0.47077917316950063,0.8387951240504439
0.1,10,chebyshev,9,0.4353282580456441,1.0917159650494723
0.05,10,chebyshev,9,0.4353282580456441,1.0917159650494723
0.2,5,chebyshev,6,0.43191813223771497,1.2900490264345834
0.2,10,chebyshev,5,0.41457421902095176,1.4107795209102356
0.1,100,manhattan,5,0.4087565976815352,0.8635105744365871
0.05,10,manhattan,9,0.40095447549098645,0.8160022764116166
0.1,50,manhattan,5,0.3907034049107523,1.514741584616641
0.1,5,minkowski,9,0.3896980302793771,1.0800239203066282
0.1,5,euclidean,9,0.3896980302793771,1.0800239203066282
0.05,10,minkowski,10,0.3563684067503064,0.9253198991397124
0.05,10,euclidean,10,0.3563684067503064,0.9253198991397124
0.2,10,euclidean,6,0.34286456578576313,0.967152552427297
0.2,5,minkowski,6,0.34286456578576313,0.967152552427297
0.2,5,euclidean,6,0.34286456578576313,0.967152552427297
0.2,20,euclidean,6,0.34286456578576313,0.967152552427297
0.2,20,minkowski,6,0.34286456578576313,0.967152552427297
0.2,10,minkowski,6,0.34286456578576313,0.967152552427297
0.2,20,chebyshev,5,0.31134268955644595,1.7156468981087782
0.2,5,manhattan,4,0.2833078877728086,1.0713559830072534
0.2,20,manhattan,3,0.2701930962335433,1.118479390042837
0.2,10,manhattan,3,0.2701930962335433,1.118479390042837
0.2,100,chebyshev,3,0.27004567039856264,1.1181752563260499
0.2,50,manhattan,2,0.2582530881785379,0.9573698071293412
0.2,50,minkowski,3,0.25701208120773505,0.9813683945455524
0.2,50,euclidean,3,0.25701208120773505,0.9813683945455524
0.3,20,euclidean,2,0.24028395264733945,1.008099921951923
0.2,50,chebyshev,2,0.24028395264733945,1.008099921951923
0.3,20,minkowski,2,0.24028395264733945,1.008099921951923
0.3,5,chebyshev,2,0.220266533097369,1.0875115872602994
0.3,10,chebyshev,2,0.220266533097369,1.0875115872602994
0.3,20,chebyshev,2,0.220266533097369,1.0875115872602994
0.1,5,chebyshev,10,-0.48900020829970986,1.1990279357377622
0.05,5,manhattan,18,-0.6193079524006107,1.164860405414664
0.05,5,chebyshev,31,-0.6438011305753861,1.3543707878021056
0.05,5,euclidean,32,-0.6943815192784631,1.2312117202262987
0.05,5,minkowski,32,-0.6953816430630732,1.231942334787268
